Protein,Gene,Protein Length,Organism,Description,C_1 ,C_10 ,C_11 ,C_12 ,C_13 ,C_14 ,C_15 ,C_16 ,C_17 ,C_18 ,C_19 ,C_2 ,C_3 ,C_4 ,C_5 ,C_6 ,C_7 ,C_8 ,C_9 ,HCC_1 ,HCC_10 ,HCC_11 ,HCC_12 ,HCC_13 ,HCC_14 ,HCC_15 ,HCC_16 ,HCC_17 ,HCC_18 ,HCC_19 ,HCC_2 ,HCC_3 ,HCC_4 ,HCC_5 ,HCC_6 ,HCC_7 ,HCC_8 ,HCC_9 
P25787,PSMA2,234,Homo sapiens,Proteasome subunit alpha type-2,3.4725556E7,4.002E7,1.2474935E7,2.0178438E7,2.0008328E7,1.6772444E7,1.2618783E7,2.4470852E7,1.7082728E7,1.0525922E7,1.3314392E7,2.0947812E7,9081538,7582235.5,1.6470562E7,2.9686502E7,1.3549547E7,2.3409454E7,2.3466408E7,1.5416244E7,1.1299787E7,2.9439234E7,1.075174E7,1.4589201E7,2.376837E7,1.1158681E7,6698957.5,1.0602489E7,1.0723282E7,1.4316611E7,1.3845302E7,3.7627908E7,4.309126E7,1.8499808E7,1.2459914E7,1.9244318E7,2.636974E7,1.7147976E7
P25788,PSMA3,255,Homo sapiens,Proteasome subunit alpha type-3,8755386,1.1491131E7,1.0036575E7,7276006,6719201.5,5377448.5,5922811,1.1634904E7,8991908,4869504,9629689,9981881,1.3858634E7,3268423,9224221,7856481.5,8468331,4992880.5,3534993,8252346,6636257,1.7571652E7,8676436,5317937.5,9049595,3993105.5,3027463.8,1970077.4,8012190,1.0962508E7,8981282,1.7681292E7,2.2646016E7,1.2149936E7,4877706.5,5771125.5,9955434,6379892
P25789,PSMA4,261,Homo sapiens,Proteasome subunit alpha type-4,8335787.5,1.2013664E7,4865097.5,6405105.5,6323093.5,5907747,4375284,7224791,6238213,4177780.2,5618715,5671351,4885172,3614686.5,6560908,5884894.5,5426397,5311599.5,4022918,8403361,4187609,9713940,3231130.2,4191720.8,7425725.5,4520407,2636020.2,4058231.5,4440195,8574945,6926190.5,1.3079229E7,1.4735535E7,6498991,3961048.2,5019273.5,7421761.5,3721443.5
P25815,S100P,95,Homo sapiens,Protein S100-P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568948.75,2470788.5,0,0,0,0,0,0,0,0,0,0,0,0,2621052,0,0,0
P25940,COL5A3,1745,Homo sapiens,Collagen alpha-3(V) chain,788049,0,0,0,0,0,0,0,0,0,0,0,0,69123.05,0,0,0,1000330.8,0,944117.7,0,0,476599.47,0,0,293714.53,0,0,0,953249.8,0,0,0,0,1413615.4,627208,0,0
P26006,ITGA3,1051,Homo sapiens,Integrin alpha-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181454.88,0,0,0,0,0,0,0,0
P26038,MSN,577,Homo sapiens,Moesin,7.2435736E7,1.1956976E8,3.8964648E7,3.1576586E7,5.180608E7,6.9273672E7,2.4045152E7,7.338176E7,6.3099408E7,3.4958548E7,5.4240104E7,4.9823536E7,2.115218E7,2.082367E7,2.957043E7,5.0131196E7,2.4721462E7,6.9197472E7,3.5663876E7,9.3462E7,3.0141136E7,3.1315538E7,1.6087045E7,1.09170144E8,6.56735E7,2.886722E7,2.7523154E7,7.7339144E7,5.9026024E7,1.9611216E8,1.86853056E8,1.54704448E8,1.17932648E8,6.0690828E7,5.5445052E7,1.40994E8,6.3576652E7,5.8497412E7
P26196,DDX6,483,Homo sapiens,Probable ATP-dependent RNA helicase DDX6,1029982.4,2293958,1200127.8,399222.5,571710.5,1973597.2,182821.19,1919189.5,1227822.2,722080.44,1113706.4,1192903.5,440436.34,420959.8,419009.75,786872,650980.3,1151667.9,513167.56,7864023,7220985,5991619,3324487,2615788.8,2036441,1975869.6,1620415.2,2866408,1646761.8,3345970,2028250.8,1.2658999E7,5127748,1203556.1,1934342.5,5605297.5,1090131.6,1694227.4
P26232,CTNNA2,953,Homo sapiens,Catenin alpha-2,0,0,619237.4,0,0,0,210345.95,248799.89,676081.9,424447.8,87259.83,0,0,171628.64,0,0,0,0,0,779403.75,0,766148.9,404617.8,1786631.2,324085.7,275615,178766.38,372358.88,738235.44,581974.56,692191.9,1224319.1,5045482,347276.56,263332.72,520114.3,664981.7,0
P26368,U2AF2,475,Homo sapiens,Splicing factor U2AF 65 kDa subunit,779388.1,2580543.5,575822.94,843512.1,426255.5,1074097.6,219466.47,1311984.1,1500298.4,205788.84,358129.47,991363.1,70667.45,102027.43,95970.18,429357.5,509600.4,1501912.2,934718,3421449.8,4119854.5,2925393.2,1325308.4,2059755.2,1160399.4,2027824.9,1196494.5,1194557.5,948658.9,2588018.8,2085079.2,1.4108109E7,1.1598097E7,166412.69,253290.77,2851168.8,1345939.9,2238902.8
P26373,RPL13,211,Homo sapiens,Large ribosomal subunit protein eL13,3877011.8,5754575,4804670.5,2949343.5,3608277,5024928,3217336,6122525,5511157,2829995.2,3561828.5,9798942,4840136,2549458.5,2841250.5,2455847.5,4718460.5,4835242,2899943.2,3.0307136E7,2308312.2,6368703,5130501,5807820.5,5228181.5,6207833,1560038.2,2381240,3669892.5,4498823.5,7849612,1.2056365E7,3631357,2719004.5,8692941,8377896.5,3345367.5,7095384
P26440,IVD,426,Homo sapiens,"Isovaleryl-CoA dehydrogenase, mitochondrial",3.0223558E7,4.4309124E7,1.3584205E7,2.5528884E7,2.1824996E7,2.656985E7,9774437,2.3823876E7,2.9811208E7,1.314833E7,2.1803052E7,2.3395274E7,1.3694362E7,5029635,1.9113684E7,1.71993E7,1.5581374E7,2.9966034E7,1.9115338E7,8599806,2035858.8,1.2690708E7,7960976,1.096703E7,3.5818016E7,5679608,7907018.5,5880446.5,1.1898892E7,6345392,2.5724784E7,1.3576286E7,1.2020185E7,1.9628604E7,2.8745254E7,4042947.8,1.1777092E7,1.0293835E7
P26447,S100A4,101,Homo sapiens,Protein S100-A4,0,0,0,0,0,400347.56,83920.06,0,0,0,227385.19,0,73559.04,183348.72,0,0,63615.16,0,0,850313.2,318280.22,0,0,204057.27,257975.11,198477.34,81601.29,600630.25,208118.9,7531197.5,0,0,288338.72,0,166380.97,183924.62,233461.62,266851.66
P26572,MGAT1,445,Homo sapiens,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",0,391312.22,271964.12,151570.81,257563.6,577490.1,140947.88,0,174331.02,536819.9,1326859.9,411823.56,203994.19,214354.9,0,0,504162.56,0,0,2648172,328786.88,973172.1,0,175532.61,1048158.4,1017973.44,435309,616969.94,331111.44,159679.47,1745475.8,6242391,700994.7,703532.94,345024.34,1040208.56,208804.64,862896.75
P26583,HMGB2,209,Homo sapiens,High mobility group protein B2,602283.25,560022,196106.22,0,144524.64,786492.1,257029.84,95826.42,0,0,262792.2,202730.02,0,180572.75,355278.7,360392.44,351214.06,379884.88,106451.04,3317278,5841279.5,1417504.6,661815.4,171261.69,364411.1,1422492.1,118748.65,371035.78,200356.48,1892790.9,722431.25,2674610.8,814749.1,0,0,876365.6,538143.56,278129.22
P26599,PTBP1,557,Homo sapiens,Polypyrimidine tract-binding protein 1,4.8217692E7,3.4801332E7,1.4929273E7,1.3619748E7,1.7928324E7,2.4439192E7,7732228.5,2.230379E7,1.7305162E7,8263050.5,1.314677E7,2.0300728E7,7019589.5,5127893,1.4801478E7,3.3477202E7,1.2513564E7,3.099386E7,2.2841394E7,4.4472848E7,3.6098576E7,5.3665568E7,2.9761094E7,4.0557904E7,2.7786948E7,2.3026414E7,1.2118869E7,1.7826472E7,1.7940418E7,2.2951192E7,3.6483128E7,1.36975792E8,1.2501284E8,2.4244336E7,1.7126188E7,4.972992E7,2.1726392E7,2.5856512E7
P26639,TARS1,723,Homo sapiens,"Threonine--tRNA ligase 1, cytoplasmic",2190361.2,1.4580174E7,5234074.5,6647643,6649420,5996855.5,3287475.5,4512372,6196197.5,3321482.5,6952954,7070329.5,2744130.5,4141407,2234074.5,2418263.5,3973773,3602963.8,1379642.2,9081100,1.15396E7,1.2350755E7,7379719,5946813.5,7427528,7213361.5,1257495.5,3093204.2,3576407.8,5973154,1.3246717E7,3.701886E7,1.5007486E7,797371.1,5309074,6693614,8773769,5633422.5
P26640,VARS1,1264,Homo sapiens,Valine--tRNA ligase,4644115,1.436913E7,5657475.5,6519980.5,7156688,9842655,3157080.5,4142891.5,9813667,3935803,6688133.5,9366035,4043216.2,2976991.8,3302410.2,3132844.5,4338442.5,3406665.5,996907.6,4.0307604E7,1.0209506E7,9066901,2.2038984E7,1.5790293E7,1.8820914E7,3.7285384E7,1.3165925E7,8967558,1.8053764E7,8200244.5,3.3363288E7,8.0523552E7,1.717125E7,1.4772651E7,1.3978113E7,1.2413859E7,2.3093334E7,1.6573143E7
P26641,EEF1G,437,Homo sapiens,Elongation factor 1-gamma,1.6798006E7,4.8683524E7,1.8588296E7,2.0174546E7,2.3856352E7,2.4206674E7,9123032,2.3147434E7,2.4401602E7,1.391612E7,2.3867166E7,2.4775374E7,1.3131008E7,9496875,1.2181508E7,1.3859976E7,1.3961978E7,1.525931E7,1.0225352E7,4.5548072E7,2.722576E7,4.1669024E7,3.638578E7,5.3966264E7,2.7930918E7,1.9775266E7,1.1780469E7,2.1398878E7,3.478926E7,4.0491152E7,3.8441748E7,1.69177648E8,6.2857744E7,2.1464694E7,1.9233064E7,3.2128396E7,2.433695E7,3.160732E7
P26885,FKBP2,142,Homo sapiens,Peptidyl-prolyl cis-trans isomerase FKBP2,2.0870138E7,1.3648633E7,6243524.5,6995934,1.0470882E7,1.1560668E7,3574671.8,6436843,6990562,2816131.8,5282140.5,8988015,5978074.5,2185007.5,6037192.5,1.5714429E7,9537656,1.8862142E7,8385908.5,1.2070413E7,5317777,1.6080954E7,3341291.2,4366820.5,8878158,4581313,1349309.4,2983585,3932897.2,8782312,1.506603E7,1.1596808E7,2.4783982E7,6370990.5,6259950,6491579.5,9369126,5078502.5
P27105,STOM,288,Homo sapiens,Stomatin,1161694.9,1.2946868E7,4583660.5,4121229.8,9432786,2.0507242E7,4753098,268380.7,3488573.8,2069293.8,1.0186196E7,2.0597476E7,3795230,3534910.8,433864.28,986901.06,1.3163935E7,1003851,18737.998,1.2431393E7,9237211,1.8437622E7,2.3021194E7,3763342.5,3801059.5,1.5870243E7,6706353,6766812.5,5892941,4024645.5,3.2151738E7,1.06450808E8,7873730.5,6794327,6673173,1.8090708E7,3211960.8,1.7958856E7
P27144,AK4,223,Homo sapiens,"Adenylate kinase 4, mitochondrial",3.4525812E7,4.587292E7,1.2297989E7,2.5585048E7,2.3242524E7,1.8165376E7,1.0880598E7,3.6754028E7,2.0745056E7,1.0008976E7,1.941756E7,1.7513318E7,9109432,2761805.8,1.961931E7,1.4930996E7,1.4672494E7,3.149597E7,3.060541E7,1711360.6,323403.97,1.1618856E7,1.0517589E7,1.5437034E7,3.123909E7,1999292.5,1.2285884E7,6681442,5549437,1362152,2.9764542E7,1.6131497E7,6117677.5,2.3026846E7,9623940,1.2930793E7,1.5564783E7,9099620
P27169,PON1,355,Homo sapiens,Serum paraoxonase/arylesterase 1,4.03072E7,6.2133048E7,1.0970469E7,4.7729156E7,3.1315736E7,3.2930146E7,1.0223847E7,1.4808339E7,2.0911858E7,9696053,7978828.5,2.1103896E7,2.0288544E7,1651676,2.159906E7,2.9104914E7,3.3986444E7,3.4108016E7,1.1102568E7,1.2620007E7,1310203.6,9154151,6607744.5,2.0358868E7,7233626,7692535,695105.8,7858247,1.5689562E7,60362.773,1.3921287E7,9319627,1.8670966E7,6.0071556E7,2.5367268E7,3454134.5,8975270,1.7435096E7
P27216,ANXA13,316,Homo sapiens,Annexin A13,3173363.5,2.661864E7,425071.9,476569.44,0,3421194,1276204,2964238.8,1355577.8,3057000,0,2757838.8,1196354,1014404.2,3173410.8,0,4585674,0,41117.38,0,533457.44,8314291.5,552668.8,0,0,0,842037,874041.6,4805396,0,3971925.8,980921.4,0,5508840.5,3233100.8,0,0,0
P27338,MAOB,520,Homo sapiens,Amine oxidase [flavin-containing] B,6.6674616E7,1.28488064E8,5.6352116E7,6.7352032E7,5.1936996E7,6.5577928E7,3.385192E7,9.4381464E7,6.3692016E7,3.921928E7,5.343296E7,7.4024376E7,4.855406E7,1.770336E7,3.6764964E7,4.9292356E7,4.9357896E7,5.2283356E7,3.7147812E7,1.08787792E8,1.0550041E7,8733696,2.1213856E7,5.1227416E7,5.944768E7,1.5366023E7,2.4423438E7,5193287.5,4.271794E7,2.7974398E7,1.04837008E8,4.7374344E7,2.01528976E8,4.401676E7,3.1737002E7,6.3543612E7,7.1334024E7,3.3981396E7
P27348,YWHAQ,245,Homo sapiens,14-3-3 protein theta,3.6830224E7,3126190.8,1468473.8,712981.4,2.4734394E7,2.8727614E7,1.9081356E7,3.4683044E7,2.789168E7,7956081,2.550444E7,3.0740682E7,2.2317808E7,1.0508296E7,2.52707E7,1.6179556E7,2.2293634E7,2.5308736E7,2.1403302E7,1.8629674E7,1.8737446E7,1.1979975E7,9948990,1.5129265E7,2.6015462E7,1.1084087E7,1961329.4,1.3498162E7,1.4247783E7,1.4850986E7,3.5224876E7,6.210326E7,4.72508E7,2.241103E7,8326548.5,2.0177456E7,2.0173146E7,2.2662242E7
P27361,MAPK3,379,Homo sapiens,Mitogen-activated protein kinase 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444409.78,760380.44,0,0,0,0,0,0,326255.5,0,1462354.5,0,673470.6,0,0,0,0,0,0
P27449,ATP6V0C,155,Homo sapiens,V-type proton ATPase 16 kDa proteolipid subunit c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732255.3,0,0,62013.434,0,50693.52,572539,0,0,957532.44,0,0,0,0,0,155915.84,0,0
P27487,DPP4,766,Homo sapiens,Dipeptidyl peptidase 4,296650.94,1040874.2,552545.44,540722.06,546089.9,830425.25,273390.44,696370.1,361971.12,328466.3,576494.3,1632730.2,529182.44,212366.6,181772.47,262439.38,694551.94,251288.62,321028.1,2639481.8,0,4957329,4215819.5,3.533734E7,636385.9,2307659.2,1877001.4,1196116.2,1313694.1,0,3.238627E7,1.2316215E7,2.4233726E7,3445149.2,0,1.5535316E7,1419593.5,3590572.8
P27540,ARNT,789,Homo sapiens,Aryl hydrocarbon receptor nuclear translocator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248410.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P27635,RPL10,214,Homo sapiens,Large ribosomal subunit protein uL16,1808448.4,3378199.8,1369889.2,1021211.9,2584090,1380895.5,966803.56,2443192.2,1900500.9,1293867.2,1446403.4,3923055.5,944191.7,934459.6,1171661.5,1560839.1,1981879,1873356.4,939495.6,1.361294E7,3846773.5,3760037.8,2318756,3130808.2,2572626.2,4254679.5,1397104.6,1648802.4,1743895.6,3232453.5,4727723,1.0711518E7,3958483.2,1245249.4,2478418.2,4329563.5,2281492,3185425.5
P27694,RPA1,616,Homo sapiens,Replication protein A 70 kDa DNA-binding subunit,2341194.8,1989857.5,762481,694535.44,992081.9,3107774.5,689569.9,1047586.44,1927662.4,887001.4,1814169.2,2461370.2,800568.56,480506.22,899253.8,1608808.2,1027783.56,1879753.9,1149577,4631672,2683701.8,2265788.5,605064.1,1627250,1738754.5,1187611.9,573366.2,1168452.9,1576900,3315961.8,2787900.2,6271541.5,6596810,1236662.2,492716.25,3030271,1042546.4,1940683.5
P27695,APEX1,318,Homo sapiens,DNA repair nuclease/redox regulator APEX1,1.1910984E7,9108575,4795804,2555388,5841426.5,1.6984224E7,2733257.5,3598940.5,2764015,2455401,5823650,6398168.5,2371503.8,1455849,2084221.1,6764023.5,4951575.5,7689794.5,6393880,1.976195E7,1.4204043E7,6238986,7289652.5,6771794,8247313,8753686,6458083.5,4934775.5,5680048,1.27829E7,1.3780371E7,3.2108404E7,2.2609364E7,5660940.5,5742694,8624412,1.0837302E7,4567798
P27708,CAD,2225,Homo sapiens,Multifunctional protein CAD,0,852766.75,0,0,0,59171.082,0,0,0,39975.77,145147.88,44974.594,33939.934,27605.693,0,0,53825.18,0,0,1452396.5,8102363.5,1634086,2454085.2,3003995.5,0,2374700.2,1121247.4,803832.75,0,1473139.9,2488881.5,2.209127E7,9545282,453074,186930.12,2374147.8,743917.56,335432
P27797,CALR,417,Homo sapiens,Calreticulin,3.63383712E8,5.5689638E8,1.75966E8,1.58665488E8,2.84384896E8,3.06250496E8,9.2175496E7,2.1636344E8,1.8403912E8,1.08650688E8,2.654268E8,1.99203936E8,6.2605132E7,6.7675224E7,1.71534368E8,3.0112784E8,1.11705624E8,3.77047168E8,1.55905856E8,3.20105632E8,2.27572112E8,5.08778368E8,1.13929616E8,2.16893264E8,3.65526016E8,1.68075776E8,3.4326296E7,1.15535264E8,1.97471024E8,1.97259872E8,4.56463616E8,5.3722387E8,8.541271E8,1.3449472E8,1.40212336E8,1.08755632E8,2.06986528E8,1.78140512E8
P27816,MAP4,1152,Homo sapiens,Microtubule-associated protein 4,3172730.2,1.1777584E7,5559512.5,5438568,5942128.5,6526730.5,1083924.6,6855651.5,3637532.8,3679075,4932145.5,3329394,1296273,1061564.5,1486659.8,2117872.2,891948.5,4933152,2257518,4979913.5,3695113,7950484.5,4590717.5,1.1230764E7,8702524,3072983.2,6616709,7601843,6814525.5,1.1124541E7,3868563,2.7283714E7,3.2763196E7,6286673,6489667,1.454733E7,6102902.5,3920561
P27824,CANX,592,Homo sapiens,Calnexin,8925636,4.2206268E7,2.7471538E7,1.7172178E7,2.3735324E7,4.8934268E7,1.9740898E7,3490151.8,2.1627398E7,1.2324224E7,2.1434074E7,5.1963288E7,1.6446409E7,1.087926E7,3401247,3357704,2.9191208E7,5618442,735724.75,1.60594288E8,9.7954008E7,3.3761508E7,2.0246176E7,3.2054438E7,2.1310852E7,7.862996E7,1.1401424E7,3.2626048E7,2.043058E7,4.6004876E7,1.5045896E8,1.88000944E8,8.9819368E7,1.4577618E7,3.2494318E7,4.420584E7,3.8651704E7,4.034332E7
P27986,PIK3R1,724,Homo sapiens,Phosphatidylinositol 3-kinase regulatory subunit alpha,0,0,0,0,634820.5,0,0,676905.56,0,302210.53,0,0,0,285328.6,0,0,212505.8,0,0,401266.16,0,0,0,0,0,0,0,0,0,0,1282550.9,0,0,0,233724.95,0,0,0
P28062,PSMB8,276,Homo sapiens,Proteasome subunit beta type-8,9338217,8997382,2747152,4455058,6312978.5,4828079.5,5282837,7744763,3338877.5,2411963.5,5926404,4952243,2181268.5,3617963,6934020.5,7825300.5,3991483.5,9569923,4897996.5,4856931.5,1290751.1,5156419.5,729588.25,5784903.5,4133737.5,4986822.5,2544544,3430743.5,3831696.5,6427370,5708845,2977017,1.1220806E7,3069517.5,2616523,7311485,9929271,3471810.2
P28065,PSMB9,219,Homo sapiens,Proteasome subunit beta type-9,4227793,4470778,1219576.8,1864477.5,4009817.5,2472887.2,2802648.5,2927016.5,1449544,851363.2,1555886.2,2309762,680678,1980756.4,1749191.6,3002117.2,1612109.8,2842019.5,1250514.9,2247574,0,3529077.8,182060.62,2788876,2403145,2941870.5,1488693.5,1822649,1906639.6,5846731,1920323.2,555998.75,9923766,2088015.5,377674.12,6095385,6568521.5,2077224.6
P28066,PSMA5,241,Homo sapiens,Proteasome subunit alpha type-5,2.4360876E7,2.5120394E7,9253026,1.1263108E7,1.2887982E7,1.6599914E7,8089596,1.9485048E7,1.4065268E7,6196004,1.456583E7,1.6303715E7,8425413,6348870,1.493379E7,1.7745088E7,1.1495032E7,2.2071592E7,1.495297E7,1.5993025E7,8626226,1.78261E7,8013137,8646743,1.7788088E7,8544233,7431242,8416914,6379219.5,1.8565042E7,1.7181654E7,2.410917E7,3.3262314E7,1.6493047E7,9536138,1.3969014E7,1.650862E7,9613204
P28070,PSMB4,264,Homo sapiens,Proteasome subunit beta type-4,2.4215678E7,1.9738202E7,8746572,9275877,1.0373384E7,1.1818732E7,5900228,1.816351E7,1.0799565E7,6091423.5,7686701,1.0130074E7,7928360,3068059.5,9868727,1.72249E7,6484210.5,1.5692312E7,1.2907713E7,1.1188349E7,6840336,1.5095797E7,4690996,7272714.5,1.3746474E7,5605289,5742233,5626096.5,6022016,7534475,1.0038659E7,2.1682636E7,2.5317154E7,1.0246057E7,5431819,1.0264543E7,1.125154E7,7165710.5
P28072,PSMB6,239,Homo sapiens,Proteasome subunit beta type-6,8303019,1.6665711E7,5230295,7954576,4916613.5,6656029,1790948.4,8561056,8733225,4172883.2,5303560,7005559.5,3945078.2,1029180.25,6875422.5,9048217,5003648,1.0437303E7,9836248,5720213,3631235,8046664,3262792,4456834.5,8937528,2000648.5,1058929.6,2096457.5,1676543.1,2781094.2,7527564,7471226,1.3577544E7,4750653,4406698,1767959.9,3520717.8,4242059
P28074,PSMB5,263,Homo sapiens,Proteasome subunit beta type-5,7464826,5018367.5,2015726.4,3474359.2,1986030.5,4186143.5,438783.8,2892749.8,3570375.5,1934770,2745976,4051568,3574751.2,155365.78,2698919,3983332,2442962.5,3925535.5,3781283.2,8695850,8491554,9018297,4407896,3211435.5,6215130.5,1325561,4316304,2446161,745405.4,8631275,7461861,2.4769006E7,1.0191502E7,5874671,5369738,1726979.5,1218859.5,2883807.5
P28161,GSTM2,218,Homo sapiens,Glutathione S-transferase Mu 2,612265.1,0,0,0,0,82477.14,0,0,0,0,0,0,0,0,0,0,0,289030.84,0,261084.03,349340.34,0,0,0,0,0,63698.945,649966.1,0,0,0,0,0,0,0,3263844.5,0,0
P28288,ABCD3,659,Homo sapiens,ATP-binding cassette sub-family D member 3,596063.75,7583626.5,6151368,3038860,4419046,1.2132537E7,3293602.8,616091.94,5891710,1954951.2,2695177.2,8968396,2813753.2,3473279.2,254088.78,0,4094452.5,0,58302.965,1.7826124E7,511697.12,2842159.5,2304516.8,6176513,5690782.5,5787114.5,2916869.5,909330.75,998382.8,829909.8,3.0155718E7,5800977,8772297,5207019.5,5424080.5,7361545.5,4683170,7225562.5
P28289,TMOD1,359,Homo sapiens,Tropomodulin-1,596168.9,1559995.8,364224.3,0,607053.6,683948.3,196883.22,527855.25,0,213478.28,1105172.9,0,0,0,0,364188.84,0,1243220,0,0,0,1147741,0,1321681.1,881260.9,0,0,1514216.6,1578070.5,866835.3,0,0,3111841,1047192.9,313822.66,0,0,0
P28330,ACADL,430,Homo sapiens,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",2747061.2,5865009.5,0,256392.4,490219.7,2894291.5,1965734.8,0,315476.34,782741,4441940.5,823326.5,836103.3,24541.969,1676639.6,0,2006150.9,893752,0,0,0,0,0,0,285913,0,0,0,663141.94,0,0,0,0,417373.62,0,605403.44,238518.31,0
P28331,NDUFS1,727,Homo sapiens,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",1.1622573E7,3.1888724E7,1.4698891E7,1.8205208E7,1.8563418E7,1.4938912E7,9753340,2.3592054E7,1.5449539E7,9750579,1.7063696E7,2.1666662E7,1.0755011E7,7630417,1.2443938E7,8382835.5,1.3569441E7,1.0724296E7,9260184,2.8470444E7,5588102.5,1.5852729E7,1.9069092E7,1.1446051E7,1.536342E7,6328404,7171978.5,7364531.5,7576986,2.1833386E7,1.0379266E7,3.233657E7,2.724438E7,9708193,2.8924316E7,1.6803618E7,1507310.1,9588875
P28332,ADH6,368,Homo sapiens,Alcohol dehydrogenase 6,5.5199376E7,1.29828648E8,5.4901604E7,9.6717232E7,1.02881432E8,6.69277E7,4.5134928E7,9.475852E7,5.208554E7,3.9379888E7,6.1808236E7,7.9065592E7,4.0110212E7,1.3877109E7,5.405068E7,3.9304976E7,6.5870816E7,4.4731568E7,3.2597094E7,9384364,727802.4,3.3609956E7,1.0386579E7,3.5552496E7,5.6354932E7,4361548,1.3924095E7,3520705.5,1.0188324E7,611377.8,1.12793192E8,1.612291E7,1.56096272E8,2.957773E7,2291223.8,5.4277272E7,1.2753547E7,6938915.5
P28370,SMARCA1,1042,Homo sapiens,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511453.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P28482,MAPK1,360,Homo sapiens,Mitogen-activated protein kinase 1,826007.94,3445537.5,891813.9,701303.75,710475.8,2069949.2,715733.7,406261.94,1020806.7,481613.75,810871.4,1723010.1,908068.6,578283.94,385125.3,471193.47,942871.44,1065530.2,274021.22,8999092,9437180,4990282.5,2679116.5,5453801.5,2443702.5,2256596.2,1202867.8,5608213.5,2622496.5,8410521,3836853,3.1465784E7,9457680,2052626.8,1325668.2,5917949.5,1812040.1,3093584
P28676,GCA,217,Homo sapiens,Grancalcin,374797.25,0,0,0,0,0,75324.484,0,0,0,0,280167.75,0,145800.61,154216.89,394910.3,272430.88,294944,139074.81,577700.75,1945081.8,0,0,0,0,186756.39,0,266842.8,0,563391.25,0,0,0,0,0,0,0,0
P28838,LAP3,519,Homo sapiens,Cytosol aminopeptidase,1.15554952E8,1.84452896E8,7.1262256E7,7.0566968E7,1.2142516E8,8.9921456E7,8.000624E7,1.36952592E8,8.765448E7,3.978146E7,1.13650192E8,7.07036E7,4.7184324E7,8.4269992E7,9.111196E7,1.10269808E8,5.415392E7,1.16283424E8,6.4024632E7,6.8099584E7,1.1435945E7,8669284,2.3207338E7,2.02301024E8,8.0791856E7,3.5500688E7,3.5127296E7,4.519906E7,4.5293252E7,4.4929E7,1.53268784E8,7.9688504E7,2.47192304E8,1.11517168E8,2.4429962E7,1.37790288E8,1.1801284E8,5.7731248E7
P28845,HSD11B1,292,Homo sapiens,11-beta-hydroxysteroid dehydrogenase 1,4.4578308E7,3.8899372E7,2.0098022E7,1.8584828E7,3.1060958E7,2.0041136E7,1.0727281E7,1.3176381E7,1.6504416E7,8981456,2.6641756E7,2.8271872E7,1.5608127E7,2483858.5,1.371351E7,1.3696674E7,2.8473436E7,2.0291056E7,9029260,141472.6,109419.46,1.1056093E7,0,3.1607196E7,2.8565544E7,0,2963789.5,5624817,1.1054123E7,0,4.399926E7,841050.25,8032077,1.2891591E7,551111.75,2.1245432E7,1.1280396E7,5793056.5
P29144,TPP2,1249,Homo sapiens,Tripeptidyl-peptidase 2,3986556.2,1.7023154E7,8802987,1.1395832E7,9264996,1.0351935E7,5782452,9936030,1.083015E7,3251957.2,9871521,1.3758035E7,4413171.5,4208164.5,4925902,3922006,7658400,4484034,2663823.5,6225864,5833660.5,1.0200349E7,828963.44,1762212.2,1.602616E7,2342057.5,2171984.8,7825427.5,8859843,3887905.2,8514623,4.5458236E7,1.4021455E7,6073726.5,1752015.8,3323449.8,5911730,3559181.2
P29218,IMPA1,277,Homo sapiens,Inositol monophosphatase 1,749299,1629345,630801.9,359246,329696.78,1393428.5,604811.4,377224.84,985427.5,293191.16,658540.1,0,379409.94,843733.44,625913.75,130320.586,593581.56,291327.4,349468,4683345,1802810.5,5013033.5,1858386,1.0348743E7,605785.75,3189250.5,1991289.1,1683021.5,856683.75,3974023.5,2048939.5,7345228.5,869009.3,1185307,2593768.8,1.0850826E7,2585596.8,5983706
P29350,PTPN6,595,Homo sapiens,Tyrosine-protein phosphatase non-receptor type 6,1172363.8,1450164.4,206330.88,0,1303692.4,1492786.4,603545.4,205726.67,0,0,1017985.44,944952.6,564825.2,637651.9,531010,608277,539982.75,1049452.8,177913.4,5938435,3460899,842890.56,245980.88,1196867.8,1140308.6,1500448.9,329958.12,1344323.9,39533.363,1812982.2,1518564,6945155.5,514497.12,0,439405.03,3035870.5,1218925.5,1497967.1
